31	828	8	35	0.32
32	853	9	61	0.33
33	878	9	86	0.34
34	903	9	11	0.35
35	928	9	36	0.36
36	953	10	62	0.37
37	978	10	87	0.38
38	41	1	41	0.39
39	67	1	67	0.4
40	93	1	93	0.41
41	119	1	19	0.42
42	145	1	45	0.43
43	171	1	71	0.44
44	197	1	97	0.45
45	223	1	23	0.46
46	249	1	49	0.47
47	275	1	75	0.48
48	301	1	1	0.49
49	327	1	27	0.5
50	12	1	12	0.51
51	379	10	88	0.52
52	405	9	13	0.53
53	431	7	37	0.54
54	457	7	63	0.55
55	483	7	89	0.56
56	509	6	14	0.57
57	535	4	38	0.58
58	561	4	64	0.59
59	587	4	90	0.6
60	613	3	15	0.61
61	639	1	39	0.62
62	665	1	65	0.63
63	691	1	91	0.64
64	717	1	17	0.65
65	743	1	43	0.66
66	769	1	69	0.67
67	795	1	95	0.68
68	821	1	21	0.69
